scope,capacity_fraction,reviewed,known_illicit,known_licit,unknown,precision_at_k_known,recall_at_k_known,precision_lower_bound_all,precision_upper_bound_all,experiment_id,split
all_transactions,0.01,368,7,86,275,0.07526881720430108,0.00674373795761079,0.019021739130434784,0.7663043478260869,extended_logistic_graph,validation
all_transactions,0.02,732,12,133,587,0.08275862068965517,0.011560693641618497,0.01639344262295082,0.8183060109289617,extended_logistic_graph,validation
all_transactions,0.05,1821,56,264,1501,0.175,0.05394990366088632,0.030752333882482153,0.8550247116968699,extended_logistic_graph,validation
all_transactions,0.1,3637,251,406,2980,0.3820395738203957,0.2418111753371869,0.06901292273852076,0.888369535331317,extended_logistic_graph,validation
all_transactions,0.2,7269,562,665,6042,0.4580277098614507,0.5414258188824663,0.07731462374466914,0.9085156142523043,extended_logistic_graph,validation
labeled_only,0.01,117,6,111,0,0.05128205128205128,0.009433962264150943,0.05128205128205128,0.05128205128205128,extended_logistic_graph,test
labeled_only,0.02,229,7,222,0,0.03056768558951965,0.0110062893081761,0.03056768558951965,0.03056768558951965,extended_logistic_graph,test
labeled_only,0.05,564,67,497,0,0.11879432624113476,0.10534591194968554,0.11879432624113476,0.11879432624113476,extended_logistic_graph,test
labeled_only,0.1,1125,231,894,0,0.20533333333333334,0.3632075471698113,0.20533333333333334,0.20533333333333334,extended_logistic_graph,test
labeled_only,0.2,2243,427,1816,0,0.1903700401248328,0.6713836477987422,0.1903700401248328,0.1903700401248328,extended_logistic_graph,test
all_transactions,0.01,471,4,71,396,0.05333333333333334,0.006289308176100629,0.008492569002123142,0.8492569002123143,extended_logistic_graph,test
all_transactions,0.02,938,7,150,781,0.044585987261146494,0.0110062893081761,0.007462686567164179,0.8400852878464818,extended_logistic_graph,test
all_transactions,0.05,2337,26,300,2011,0.07975460122699386,0.040880503144654086,0.011125374411638854,0.8716302952503209,extended_logistic_graph,test
all_transactions,0.1,4670,166,582,3922,0.22192513368983957,0.2610062893081761,0.035546038543897214,0.8753747323340471,extended_logistic_graph,test
all_transactions,0.2,9333,371,1168,7794,0.2410656270305393,0.5833333333333334,0.03975141969356048,0.874852673309761,extended_logistic_graph,test
labeled_only,0.01,96,95,1,0,0.9895833333333334,0.09152215799614644,0.9895833333333334,0.9895833333333334,extended_xgboost_tx,validation
labeled_only,0.02,185,179,6,0,0.9675675675675676,0.1724470134874759,0.9675675675675676,0.9675675675675676,extended_xgboost_tx,validation
labeled_only,0.05,456,394,62,0,0.8640350877192983,0.37957610789980734,0.8640350877192983,0.8640350877192983,extended_xgboost_tx,validation
labeled_only,0.1,905,652,253,0,0.7204419889502762,0.628131021194605,0.7204419889502762,0.7204419889502762,extended_xgboost_tx,validation
labeled_only,0.2,1804,934,870,0,0.5177383592017738,0.8998073217726397,0.5177383592017738,0.5177383592017738,extended_xgboost_tx,validation
all_transactions,0.01,368,185,1,182,0.9946236559139785,0.17822736030828518,0.5027173913043478,0.9972826086956522,extended_xgboost_tx,validation
all_transactions,0.02,732,330,2,400,0.9939759036144579,0.3179190751445087,0.45081967213114754,0.9972677595628415,extended_xgboost_tx,validation
all_transactions,0.05,1821,674,21,1126,0.9697841726618706,0.649325626204239,0.3701263042284459,0.9884678747940692,extended_xgboost_tx,validation
all_transactions,0.1,3637,911,140,2586,0.8667935299714558,0.8776493256262042,0.2504811657959857,0.9615067363211438,extended_xgboost_tx,validation
all_transactions,0.2,7269,983,427,5859,0.6971631205673758,0.9470134874759152,0.13523180630072912,0.9412573944146375,extended_xgboost_tx,validation
